20211201035603,10.0.0.1,60614,10.0.0.2,5001,5,0.0-1.0,30798960,246391680
20211201035604,10.0.0.1,60614,10.0.0.2,5001,5,1.0-2.0,149144,1193152
20211201035605,10.0.0.1,60614,10.0.0.2,5001,5,2.0-3.0,1498680,11989440
20211201035606,10.0.0.1,60614,10.0.0.2,5001,5,3.0-4.0,25131984,201055872
20211201035607,10.0.0.1,60614,10.0.0.2,5001,5,4.0-5.0,31457280,251658240
20211201035608,10.0.0.1,60614,10.0.0.2,5001,5,5.0-6.0,20971520,167772160
20211201035609,10.0.0.1,60614,10.0.0.2,5001,5,6.0-7.0,31457280,251658240
20211201035610,10.0.0.1,60614,10.0.0.2,5001,5,7.0-8.0,31588352,252706816
20211201035611,10.0.0.1,60614,10.0.0.2,5001,5,8.0-9.0,31457280,251658240
20211201035612,10.0.0.1,60614,10.0.0.2,5001,5,9.0-10.0,31457280,251658240
20211201035613,10.0.0.1,60614,10.0.0.2,5001,5,10.0-11.0,31457280,251658240
20211201035614,10.0.0.1,60614,10.0.0.2,5001,5,11.0-12.0,31457280,251658240
20211201035615,10.0.0.1,60614,10.0.0.2,5001,5,12.0-13.0,31457280,251658240
20211201035616,10.0.0.1,60614,10.0.0.2,5001,5,13.0-14.0,20971520,167772160
20211201035617,10.0.0.1,60614,10.0.0.2,5001,5,14.0-15.0,31457280,251658240
20211201035618,10.0.0.1,60614,10.0.0.2,5001,5,15.0-16.0,31457280,251658240
20211201035619,10.0.0.1,60614,10.0.0.2,5001,5,16.0-17.0,31588352,252706816
20211201035620,10.0.0.1,60614,10.0.0.2,5001,5,17.0-18.0,31457280,251658240
20211201035621,10.0.0.1,60614,10.0.0.2,5001,5,18.0-19.0,31457280,251658240
20211201035622,10.0.0.1,60614,10.0.0.2,5001,5,19.0-20.0,31457280,251658240
20211201035623,10.0.0.1,60614,10.0.0.2,5001,5,20.0-21.0,20971520,167772160
20211201035624,10.0.0.1,60614,10.0.0.2,5001,5,21.0-22.0,31457280,251658240
20211201035625,10.0.0.1,60614,10.0.0.2,5001,5,22.0-23.0,31457280,251658240
20211201035626,10.0.0.1,60614,10.0.0.2,5001,5,23.0-24.0,31457280,251658240
20211201035627,10.0.0.1,60614,10.0.0.2,5001,5,24.0-25.0,31457280,251658240
20211201035628,10.0.0.1,60614,10.0.0.2,5001,5,25.0-26.0,31588352,252706816
20211201035629,10.0.0.1,60614,10.0.0.2,5001,5,26.0-27.0,31457280,251658240
20211201035630,10.0.0.1,60614,10.0.0.2,5001,5,27.0-28.0,31457280,251658240
20211201035631,10.0.0.1,60614,10.0.0.2,5001,5,28.0-29.0,20971520,167772160
20211201035632,10.0.0.1,60614,10.0.0.2,5001,5,29.0-30.0,31457280,251658240
20211201035633,10.0.0.1,60614,10.0.0.2,5001,5,30.0-31.0,31457280,251658240
20211201035634,10.0.0.1,60614,10.0.0.2,5001,5,31.0-32.0,31457280,251658240
20211201035635,10.0.0.1,60614,10.0.0.2,5001,5,32.0-33.0,31457280,251658240
20211201035636,10.0.0.1,60614,10.0.0.2,5001,5,33.0-34.0,31457280,251658240
20211201035637,10.0.0.1,60614,10.0.0.2,5001,5,34.0-35.0,31588352,252706816
20211201035638,10.0.0.1,60614,10.0.0.2,5001,5,35.0-36.0,31457280,251658240
20211201035639,10.0.0.1,60614,10.0.0.2,5001,5,36.0-37.0,20971520,167772160
20211201035640,10.0.0.1,60614,10.0.0.2,5001,5,37.0-38.0,31457280,251658240
20211201035641,10.0.0.1,60614,10.0.0.2,5001,5,38.0-39.0,31457280,251658240
20211201035642,10.0.0.1,60614,10.0.0.2,5001,5,39.0-40.0,31457280,251658240
20211201035643,10.0.0.1,60614,10.0.0.2,5001,5,40.0-41.0,31457280,251658240
20211201035644,10.0.0.1,60614,10.0.0.2,5001,5,41.0-42.0,31457280,251658240
20211201035645,10.0.0.1,60614,10.0.0.2,5001,5,42.0-43.0,31457280,251658240
20211201035646,10.0.0.1,60614,10.0.0.2,5001,5,43.0-44.0,31588352,252706816
20211201035647,10.0.0.1,60614,10.0.0.2,5001,5,44.0-45.0,20971520,167772160
20211201035648,10.0.0.1,60614,10.0.0.2,5001,5,45.0-46.0,31457280,251658240
20211201035649,10.0.0.1,60614,10.0.0.2,5001,5,46.0-47.0,31457280,251658240
20211201035650,10.0.0.1,60614,10.0.0.2,5001,5,47.0-48.0,31457280,251658240
20211201035651,10.0.0.1,60614,10.0.0.2,5001,5,48.0-49.0,31457280,251658240
20211201035652,10.0.0.1,60614,10.0.0.2,5001,5,49.0-50.0,31457280,251658240
20211201035652,10.0.0.1,60614,10.0.0.2,5001,5,0.0-50.3,1442354448,229596964
